next,country,year,month,max,min,idx,count,units,avg,prev
930.00,1,2015,2,214.00,13.00,38,29,1635.00,56.379310,1350.00
944.00,1,2015,3,77.00,3.00,39,31,930.00,30.000000,1635.00
1198.00,1,2015,4,81.00,8.00,40,30,944.00,31.466666,930.00
1046.00,1,2015,5,83.00,13.00,41,31,1198.00,38.645161,944.00
1058.00,1,2015,6,98.00,15.00,42,30,1046.00,34.866666,1198.00
1447.00,1,2015,7,68.00,16.00,43,31,1058.00,34.129032,1046.00
1367.00,1,2015,8,132.00,10.00,44,31,1447.00,46.677419,1058.00
1188.00,1,2015,9,88.00,9.00,45,30,1367.00,45.566666,1447.00
1497.00,1,2015,10,118.00,2.00,46,31,1188.00,38.322580,1367.00
1628.00,1,2015,11,114.00,9.00,47,30,1497.00,49.900000,1188.00
1296.00,1,2015,12,107.00,10.00,48,30,1628.00,54.266666,1497.00
1441.00,1,2016,1,105.00,8.00,49,31,1296.00,41.806451,1628.00
1212.00,1,2016,2,152.00,3.00,50,28,1441.00,51.464285,1296.00
1170.00,1,2016,3,106.00,7.00,51,31,1212.00,39.096774,1441.00
1246.00,1,2016,4,87.00,6.00,52,30,1170.00,39.000000,1212.00
585.00,1,2016,5,82.00,10.00,53,31,1246.00,40.193548,1170.00
605.00,1,2016,6,47.00,15.00,54,20,585.00,29.250000,1246.00
774.00,1,2016,7,62.00,13.00,55,18,605.00,33.611111,585.00
842.00,1,2016,8,65.00,23.00,56,19,774.00,40.736842,605.00
1387.00,1,2016,9,72.00,7.00,57,23,842.00,36.608695,774.00
736.00,1,2016,10,101.00,19.00,58,31,1387.00,44.741935,842.00
1002.00,1,2016,11,104.00,16.00,59,16,736.00,46.000000,1387.00
1431.00,1,2016,12,90.00,10.00,60,24,1002.00,41.750000,736.00
1183.00,1,2017,1,108.00,4.00,61,30,1431.00,47.700000,1002.00
1071.00,1,2017,2,89.00,7.00,62,28,1183.00,42.250000,1431.00
815.00,1,2017,3,81.00,9.00,63,26,1071.00,41.192307,1183.00
943.00,1,2017,4,81.00,11.00,64,28,815.00,29.107142,1071.00
894.00,1,2017,5,126.00,8.00,65,31,943.00,30.419354,815.00
437.00,1,2017,6,74.00,10.00,66,30,894.00,29.800000,943.00
1765.00,1,2017,7,79.00,19.00,67,10,437.00,43.700000,894.00
752.00,1,2017,8,148.00,30.00,68,24,1765.00,73.541666,437.00
754.00,1,2017,9,56.00,6.00,69,30,752.00,25.066666,1765.00
2137.00,10,2015,2,204.00,20.00,38,29,2550.00,87.931034,2898.00
2502.00,10,2015,3,150.00,26.00,39,31,2137.00,68.935483,2550.00
2302.00,10,2015,4,135.00,40.00,40,30,2502.00,83.400000,2137.00
2308.00,10,2015,5,154.00,31.00,41,31,2302.00,74.258064,2502.00
2898.00,10,2015,6,137.00,15.00,42,30,2308.00,76.933333,2302.00
3036.00,10,2015,7,188.00,39.00,43,31,2898.00,93.483870,2308.00
2960.00,10,2015,8,187.00,34.00,44,31,3036.00,97.935483,2898.00
2970.00,10,2015,9,194.00,36.00,45,30,2960.00,98.666666,3036.00
3018.00,10,2015,10,189.00,35.00,46,31,2970.00,95.806451,2960.00
2880.00,10,2015,11,271.00,28.00,47,30,3018.00,100.600000,2970.00
2774.00,10,2015,12,180.00,44.00,48,30,2880.00,96.000000,3018.00
3350.00,10,2016,1,172.00,30.00,49,31,2774.00,89.483870,2880.00
3432.00,10,2016,2,348.00,27.00,50,28,3350.00,119.642857,2774.00
1859.00,10,2016,3,219.00,25.00,51,31,3432.00,110.709677,3350.00
2215.00,10,2016,4,182.00,34.00,52,21,1859.00,88.523809,3432.00
1669.00,10,2016,5,160.00,42.00,53,25,2215.00,88.600000,1859.00
1954.00,10,2016,6,168.00,45.00,54,18,1669.00,92.722222,2215.00
2630.00,10,2016,7,199.00,36.00,55,20,1954.00,97.700000,1669.00
2395.00,10,2016,8,214.00,15.00,56,27,2630.00,97.407407,1954.00
2441.00,10,2016,9,171.00,39.00,57,23,2395.00,104.130434,2630.00
2188.00,10,2016,10,235.00,29.00,58,22,2441.00,110.954545,2395.00
2520.00,10,2016,11,178.00,8.00,59,25,2188.00,87.520000,2441.00
1525.00,10,2016,12,176.00,45.00,60,28,2520.00,90.000000,2188.00
1887.00,10,2017,1,184.00,31.00,61,19,1525.00,80.263157,2520.00
1923.00,10,2017,2,189.00,38.00,62,21,1887.00,89.857142,1525.00
2002.00,10,2017,3,158.00,29.00,63,24,1923.00,80.125000,1887.00
2144.00,10,2017,4,120.00,25.00,64,30,2002.00,66.733333,1923.00
2175.00,10,2017,5,124.00,39.00,65,28,2144.00,76.571428,2002.00
1454.00,10,2017,6,218.00,29.00,66,26,2175.00,83.653846,2144.00
1802.00,10,2017,7,196.00,42.00,67,15,1454.00,96.933333,2175.00
286.00,10,2017,8,138.00,26.00,68,24,1802.00,75.083333,1454.00
1875.00,10,2017,9,79.00,13.00,69,7,286.00,40.857142,1802.00
2883.00,11,2015,2,179.00,41.00,38,29,3019.00,104.103448,3013.00
2761.00,11,2015,3,175.00,43.00,39,31,2883.00,93.000000,3019.00
2402.00,11,2015,4,171.00,53.00,40,30,2761.00,92.033333,2883.00
2671.00,11,2015,5,129.00,33.00,41,31,2402.00,77.483870,2761.00
2501.00,11,2015,6,147.00,45.00,42,30,2671.00,89.033333,2402.00
3075.00,11,2015,7,130.00,41.00,43,31,2501.00,80.677419,2671.00
2553.00,11,2015,8,198.00,41.00,44,31,3075.00,99.193548,2501.00
2618.00,11,2015,9,142.00,46.00,45,30,2553.00,85.100000,3075.00
2718.00,11,2015,10,149.00,37.00,46,31,2618.00,84.451612,2553.00
3132.00,11,2015,11,166.00,16.00,47,30,2718.00,90.600000,2618.00
2856.00,11,2015,12,192.00,52.00,48,30,3132.00,104.400000,2718.00
2429.00,11,2016,1,163.00,36.00,49,31,2856.00,92.129032,3132.00
2579.00,11,2016,2,141.00,34.00,50,28,2429.00,86.750000,2856.00
1629.00,11,2016,3,131.00,44.00,51,31,2579.00,83.193548,2429.00
1767.00,11,2016,4,124.00,36.00,52,21,1629.00,77.571428,2579.00
804.00,11,2016,5,181.00,41.00,53,24,1767.00,73.625000,1629.00
1292.00,11,2016,6,141.00,33.00,54,10,804.00,80.400000,1767.00
2085.00,11,2016,7,132.00,46.00,55,16,1292.00,80.750000,804.00
